question,option_1,option_2,option_3,option_4,correctAnswer,explanation,file name,type,rand,ID
"If \( (3c -2)(2d -4) = 4d(2c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.000527856,1736
"If \( (3c + 1)(2d + 3) = 2d(4c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.000541954,5440
"If \( (2c -2)(2d -3) = 4d(2c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.000689932,5364
"If \( (c -2)(d + 3) = 4d(2c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.000748081,4116
"If \( (3c + 2)(2d -4) = 2d(3c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.000857036,9071
"If \( (2c -1)(2d -4) = 4d(4c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.000891679,7855
"If \( (3c + 1)(3d -3) = 4d(2c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.000974542,5817
"If \( \dfrac{2a -3b}{7a + 2b} = \dfrac{2}{b -1} \), then \(a = \)",\( \dfrac{4 - b}{5b^2 + 13b} \),\( \dfrac{4 + b}{5b^2 + 13b} \),\( \dfrac{5b^2 + 13b}{4 - b} \),\( \dfrac{5b^2 + 13b}{4 + b} \),2,交叉相乘 兩變數,2023_q1.jpg,交叉相乘 兩變數,0.001242672,346
"If \( \dfrac{a + 5b}{3a -2b} = \dfrac{1}{b + 3} \), then \(a = \)",\( \dfrac{4 - b}{5b^2 + 13b} \),\( \dfrac{4 + b}{5b^2 + 13b} \),\( \dfrac{5b^2 + 13b}{4 - b} \),\( \dfrac{5b^2 + 13b}{4 + b} \),2,交叉相乘 兩變數,2023_q1.jpg,交叉相乘 兩變數,0.001350129,527
"If \( (3c -1)(2d -3) = 2d(3c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.001603051,1846
"If \( (2c -1)(3d + 4) = 2d(2c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.00184418,4643
"If \( (c + 1)(2d -3) = 4d(2c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.001862568,8714
"If \( (3c -2)(2d + 3) = 3d(2c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.001916047,5634
"If \( (c -2)(d -2) = 2d(4c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.002237869,2411
"If \( (2c -1)(d + 2) = 4d(3c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.002267578,7945
"If \( (c + 1)(d + 4) = 3d(3c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.002345719,1767
"If \( (3c -2)(3d + 4) = 2d(2c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.002387424,9278
"If \( (2c + 2)(2d + 3) = 4d(2c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.002471688,1821
"If \( (c + 2)(d + 2) = 3d(3c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.002493981,3145
"If \( (3c -2)(3d + 2) = 3d(2c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.002620495,3810
"If \( (c -1)(2d -4) = 3d(4c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.002700355,6274
"If \( (3c -1)(2d + 3) = 2d(4c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.002736043,4891
"If \( (3c -1)(3d -2) = 3d(2c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.002756931,9179
"If \( (c -1)(2d -2) = 3d(4c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.002840958,6631
"If \( (c + 1)(d -2) = 3d(2c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.00308322,7305
"If \( (2c -2)(2d + 3) = 2d(4c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.003090154,4814
"If \( (2c -2)(2d -3) = 4d(3c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.003453039,1854
"If \( (2c + 1)(2d -2) = 3d(3c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.003579566,8543
"If \( (2c + 2)(3d + 4) = 4d(4c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.003618864,8812
"If \( (2c + 1)(2d -4) = 4d(4c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.003638693,2226
"If \( (2c + 1)(3d + 2) = 4d(2c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.003718149,7348
"If \( (3c + 1)(d -3) = 3d(3c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.00386843,5371
"If \( (2c + 1)(3d -3) = 2d(4c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.003869323,6361
"If \( (3c + 1)(d -2) = 3d(3c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.004017034,7374
"If \( (3c + 2)(3d -2) = 3d(2c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.004113476,8059
"If \( (3c + 1)(3d + 3) = 4d(2c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.004205771,1815
"If \( (c + 2)(2d + 4) = 3d(2c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.004514592,5269
"If \( \dfrac{a + b}{2a} = 3 + \dfrac{b}{a} \), then \( a = \)",\( \dfrac{2b}{3} \),\( \dfrac{3b}{2} \),\( \dfrac{5b}{6} \),\( \dfrac{6b}{5} \),3,分子拆分,2017_q3.jpg,分子拆分,0.004646927,1088
"If \( (2c + 2)(d + 2) = 4d(4c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.004682331,9018
"If \( (3c -1)(3d + 3) = 3d(4c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.004748965,6520
"If \( (3c + 2)(3d + 4) = 2d(4c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.004922801,4168
"If \( (3c + 2)(3d + 4) = 2d(2c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.004925511,5282
"If \( (2c + 1)(3d -2) = 3d(3c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.004955412,5359
"If \( (3c + 1)(2d + 2) = 2d(2c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.005065432,4150
"If \( (2c + 1)(2d + 3) = 4d(2c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.005378291,1863
"If \( \dfrac{a -5b}{3a + b} = \dfrac{1}{2b -1} \), then \(a = \)",\( \dfrac{4 - b}{5b^2 + 13b} \),\( \dfrac{4 + b}{5b^2 + 13b} \),\( \dfrac{5b^2 + 13b}{4 - b} \),\( \dfrac{5b^2 + 13b}{4 + b} \),2,交叉相乘 兩變數,2023_q1.jpg,交叉相乘 兩變數,0.005418504,680
"If \( (2c -1)(2d -2) = 4d(3c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.005420076,8832
"If \( (2c -1)(d -4) = 4d(4c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.00544339,7278
"If \( (3c + 2)(2d + 4) = 2d(2c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.005666401,7695
"If \( (2c -2)(3d + 4) = 4d(4c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.005847593,6049
"If \( (3c + 2)(3d + 2) = 2d(3c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.005987629,5328
"If \( (c -2)(d -4) = 2d(4c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.006030186,6710
"If \( (c -1)(d -3) = 3d(4c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.006033559,5707
"If \( (3c + 2)(2d + 3) = 4d(4c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.006147116,7378
"If \( (c -2)(2d -2) = 2d(4c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.006150478,5117
"If \( (2c + 2)(3d + 4) = 4d(3c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.006174897,5684
"If \( (2c -2)(2d -4) = 2d(2c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.00619812,5586
"If \( (c -1)(d -3) = 3d(3c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.006238128,2027
"If \( (3c -2)(d + 4) = 3d(3c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.006302935,7284
"If \( \dfrac{2a -3b}{7a + b} = \dfrac{1}{b + 1} \), then \(a = \)",\( \dfrac{4 - b}{5b^2 + 13b} \),\( \dfrac{4 + b}{5b^2 + 13b} \),\( \dfrac{5b^2 + 13b}{4 - b} \),\( \dfrac{5b^2 + 13b}{4 + b} \),2,交叉相乘 兩變數,2023_q1.jpg,交叉相乘 兩變數,0.006326752,337
"If \( (3c -1)(2d -4) = 4d(2c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.00641541,2712
"If \( (2c + 2)(2d -2) = 3d(3c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.006813621,7294
"If \( (c + 1)(d + 4) = 3d(2c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.006946899,9162
"If \( (2c + 2)(2d -3) = 4d(4c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.007037449,8395
"If \( (c -1)(2d -4) = 3d(3c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.007216359,9020
"If \( (3c -1)(3d -4) = 4d(2c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.007256605,3283
"If \( (c + 1)(2d -2) = 3d(3c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.007268886,4907
"If \( (2c + 2)(3d + 3) = 4d(3c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.007336074,4340
"If \( k = \dfrac{4}{5m} -3n \), then \( m = \)",\( \dfrac{5}{2(k - n)} \),\( \dfrac{5}{2(n - k)} \),\( \dfrac{2(k - n)}{5} \),\( \dfrac{2(n - k)}{5} \),1,取出分母,2024_q3.jpg,取出分母,0.007349784,1355
"If \( \dfrac{2}{u} + \dfrac{2}{2v} = 5 \), then \( u = \)",\( \dfrac{2v}{4v - 3} \),\( \dfrac{2v}{3 - 4v} \),\( \dfrac{3v}{4v - 2} \),\( \dfrac{3v}{2 - 4v} \),1,分數相加,2022_q5.jpg,分數相加,0.007359455,1305
"If \( (3c -2)(d -4) = 3d(2c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.007434804,2487
"If \( (2c + 2)(2d -4) = 4d(3c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.007486222,7194
"If \( (c + 2)(2d -2) = 2d(4c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.007658985,9008
"If \( (2c + 2)(3d + 4) = 4d(4c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.007685192,2524
"If \( (2c + 1)(3d -4) = 4d(3c -2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.007789388,6522
