question,option_1,option_2,option_3,option_4,correctAnswer,explanation,file name,type,rand,ID
\[ (3a + 3b)(4a -4b) + 2a(6a + 6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.003771567,105
\[ 25 - (2m + 4n)^2 = \],\( (6 + 3m + 4n)(6 - 3m + 4n) \),\( (6 + 3m + 4n)(6 - 3m - 4n) \),\( (6 + 3m - 4n)(6 - 3m + 4n) \),\( (6 + 3m - 4n)(6 - 3m - 4n) \),2,a-b^2,2025_q2.jpg,a-b^2,0.004047159,1684
\[ (2a + 2b)(4a -5b) -2a(4a + 4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.00414203,1130
\[ 36 - (4m + 3n)^2 = \],\( (6 + 3m + 4n)(6 - 3m + 4n) \),\( (6 + 3m + 4n)(6 - 3m - 4n) \),\( (6 + 3m - 4n)(6 - 3m + 4n) \),\( (6 + 3m - 4n)(6 - 3m - 4n) \),2,a-b^2,2025_q2.jpg,a-b^2,0.005364351,1670
\[ (2a -2b)(2a + 3b) -a(4a -4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.0054567,1397
\[ (2a + 3b)(2a -4b) + 2a(6a + 9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.00565546,1369
\[ (2a -3b)(4a -2b) + a(4a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.005861776,650
\[ (3a + 2b)(4a + 5b) -a(6a + 4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.005939216,45
\[ 4 - (2m + 2n)^2 = \],\( (6 + 3m + 4n)(6 - 3m + 4n) \),\( (6 + 3m + 4n)(6 - 3m - 4n) \),\( (6 + 3m - 4n)(6 - 3m + 4n) \),\( (6 + 3m - 4n)(6 - 3m - 4n) \),2,a-b^2,2025_q2.jpg,a-b^2,0.006456015,1639
\[ 16\alpha^2 -4\alpha -\beta^2 -4\beta = \],\( (\alpha + \beta)(\alpha - \beta + 1) \),\( (\alpha + \beta)(\alpha - \beta - 1) \),\( (\alpha - \beta)(\alpha + \beta + 1) \),\( (\alpha - \beta)(\alpha + \beta - 1) \),4,移項分解再抽項,2022_q1.jpg,移項分解再抽項,0.011870505,2300
\[ (2a + 3b)(3a + 4b) + 2a(4a + 6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.006472042,109
\[ (3a + 2b)(4a -3b) -2a(9a + 6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.006715303,1293
\[ (2a + 3b)(3a -5b) + a(6a + 9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.007226474,726
\[ 49 - (3m + 5n)^2 = \],\( (6 + 3m + 4n)(6 - 3m + 4n) \),\( (6 + 3m + 4n)(6 - 3m - 4n) \),\( (6 + 3m - 4n)(6 - 3m + 4n) \),\( (6 + 3m - 4n)(6 - 3m - 4n) \),2,a-b^2,2025_q2.jpg,a-b^2,0.007365405,1573
\[ (3a + 3b)(2a -2b) -a(9a + 9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.007583648,997
\[ (3a -3b)(2a + 2b) + 2a(9a -9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.008105988,523
\[ (2a + 2b)(2a -2b) + 2a(6a + 6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.008460394,923
\[ (2a -2b)(3a + 4b) + 2a(6a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.00850051,719
\[ 36 - (2m -3n)^2 = \],\( (6 + 3m + 4n)(6 - 3m + 4n) \),\( (6 + 3m + 4n)(6 - 3m - 4n) \),\( (6 + 3m - 4n)(6 - 3m + 4n) \),\( (6 + 3m - 4n)(6 - 3m - 4n) \),2,a-b^2,2025_q2.jpg,a-b^2,0.009327693,1812
\[ (2a -2b)(4a + 4b) -2a(4a -4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.010309288,1067
\[ (2a + 3b)(2a + 5b) -a(6a + 9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.010440092,14
\[ (2a -2b)(4a -3b) + 2a(4a -4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.010624927,558
\[ 49 - (m -4n)^2 = \],\( (6 + 3m + 4n)(6 - 3m + 4n) \),\( (6 + 3m + 4n)(6 - 3m - 4n) \),\( (6 + 3m - 4n)(6 - 3m + 4n) \),\( (6 + 3m - 4n)(6 - 3m - 4n) \),2,a-b^2,2025_q2.jpg,a-b^2,0.011284733,1662
\[ (2a -3b)(4a + 5b) -2a(4a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.011546426,79
\[ (3a + 2b)(4a -3b) -a(6a + 4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.012222336,1455
\[ (3a -2b)(3a -2b) -a(9a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.012436333,599
\[ (2a -2b)(4a -2b) -2a(4a -4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.012513409,193
\[ (2a + 2b)(4a -2b) -2a(4a + 4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.013054638,1385
\[ (3a -3b)(3a + 2b) + a(9a -9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.013277323,1220
\[ (2a -3b)(4a -2b) -2a(6a -9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.013618241,132
\[ 36 - (m + 2n)^2 = \],\( (6 + 3m + 4n)(6 - 3m + 4n) \),\( (6 + 3m + 4n)(6 - 3m - 4n) \),\( (6 + 3m - 4n)(6 - 3m + 4n) \),\( (6 + 3m - 4n)(6 - 3m - 4n) \),2,a-b^2,2025_q2.jpg,a-b^2,0.015196513,1685
\[ \alpha^2 -4\alpha -4\beta^2 + 8\beta = \],\( (\alpha + \beta)(\alpha - \beta + 1) \),\( (\alpha + \beta)(\alpha - \beta - 1) \),\( (\alpha - \beta)(\alpha + \beta + 1) \),\( (\alpha - \beta)(\alpha + \beta - 1) \),4,移項分解再抽項,2022_q1.jpg,移項分解再抽項,0.015360686,2122
\[ (3a -3b)(2a + 4b) + 2a(6a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.015430878,1309
\[ 25 - (m -5n)^2 = \],\( (6 + 3m + 4n)(6 - 3m + 4n) \),\( (6 + 3m + 4n)(6 - 3m - 4n) \),\( (6 + 3m - 4n)(6 - 3m + 4n) \),\( (6 + 3m - 4n)(6 - 3m - 4n) \),2,a-b^2,2025_q2.jpg,a-b^2,0.015744964,1790
\[ 25 - (2m + 5n)^2 = \],\( (6 + 3m + 4n)(6 - 3m + 4n) \),\( (6 + 3m + 4n)(6 - 3m - 4n) \),\( (6 + 3m - 4n)(6 - 3m + 4n) \),\( (6 + 3m - 4n)(6 - 3m - 4n) \),2,a-b^2,2025_q2.jpg,a-b^2,0.0165627,1541
\[ x^{2} -  y^{2} + 2 x -  2 y \],\( (x + y)(2x + y - 4) \),\( (x + y)(2x - y + 4) \),\( (x - y)(2x + y - 4) \),\( (x - y)(2x - y + 4) \),1,因式分解再抽項,2023_q4.jpg,因式分解再抽項,0.016562731,2028
\[ 25\alpha^2 -6\alpha -25\beta^2 + 30\beta = \],\( (\alpha + \beta)(\alpha - \beta + 1) \),\( (\alpha + \beta)(\alpha - \beta - 1) \),\( (\alpha - \beta)(\alpha + \beta + 1) \),\( (\alpha - \beta)(\alpha + \beta - 1) \),4,移項分解再抽項,2022_q1.jpg,移項分解再抽項,0.017013293,2187
\[ (3a + 2b)(2a + 2b) -2a(9a + 6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.017369184,1230
\[ (2a -3b)(4a -4b) + a(6a -9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.018022764,112
\[ (2a -2b)(2a + 5b) + a(6a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.018576966,805
\[ (2a -2b)(2a + 2b) -a(6a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.019065942,227
\[ (2a -3b)(4a -5b) + a(6a -9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.019445226,245
\[ (3a + 2b)(4a -5b) + 2a(9a + 6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.019479626,401
\[ (3a -3b)(2a + 3b) + 2a(9a -9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.019689325,356
\[ (2a -2b)(3a + 3b) -a(6a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.02160361,1029
\[ 9\alpha^2 -5\alpha -16\beta^2 -20\beta = \],\( (\alpha + \beta)(\alpha - \beta + 1) \),\( (\alpha + \beta)(\alpha - \beta - 1) \),\( (\alpha - \beta)(\alpha + \beta + 1) \),\( (\alpha - \beta)(\alpha + \beta - 1) \),4,移項分解再抽項,2022_q1.jpg,移項分解再抽項,0.021707025,2338
\[ (2a + 2b)(4a + 4b) -a(6a + 6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.021787178,1043
\[ (3a -2b)(3a + 5b) -a(9a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.022264133,626
\[ 49 - (2m -4n)^2 = \],\( (6 + 3m + 4n)(6 - 3m + 4n) \),\( (6 + 3m + 4n)(6 - 3m - 4n) \),\( (6 + 3m - 4n)(6 - 3m + 4n) \),\( (6 + 3m - 4n)(6 - 3m - 4n) \),2,a-b^2,2025_q2.jpg,a-b^2,0.022319578,1777
\[ (3a -3b)(3a -2b) -a(6a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.022989159,1022
\[ (2a + 2b)(2a + 5b) -2a(6a + 6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.024325692,640
\[ 16\alpha^2 -3\alpha -4\beta^2 -6\beta = \],\( (\alpha + \beta)(\alpha - \beta + 1) \),\( (\alpha + \beta)(\alpha - \beta - 1) \),\( (\alpha - \beta)(\alpha + \beta + 1) \),\( (\alpha - \beta)(\alpha + \beta - 1) \),4,移項分解再抽項,2022_q1.jpg,移項分解再抽項,0.025994587,2193
\[ (2a + 2b)(2a + 4b) + 2a(4a + 4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.026833719,467
\[ (2a + 2b)(3a -4b) -2a(4a + 4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.026956655,1499
\[ 9\alpha^2 -6\alpha -9\beta^2 + 18\beta = \],\( (\alpha + \beta)(\alpha - \beta + 1) \),\( (\alpha + \beta)(\alpha - \beta - 1) \),\( (\alpha - \beta)(\alpha + \beta + 1) \),\( (\alpha - \beta)(\alpha + \beta - 1) \),4,移項分解再抽項,2022_q1.jpg,移項分解再抽項,0.027025733,2095
\[ 2 x^{2} -  x y -  y^{2} -  x + y \],\( (x + y)(2x + y - 4) \),\( (x + y)(2x - y + 4) \),\( (x - y)(2x + y - 4) \),\( (x - y)(2x - y + 4) \),1,因式分解再抽項,2023_q4.jpg,因式分解再抽項,0.027655888,2016
\[ (2a -2b)(4a + 5b) -2a(6a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.027808661,698
\[ 25\alpha^2 -5\alpha -9\beta^2 + 15\beta = \],\( (\alpha + \beta)(\alpha - \beta + 1) \),\( (\alpha + \beta)(\alpha - \beta - 1) \),\( (\alpha - \beta)(\alpha + \beta + 1) \),\( (\alpha - \beta)(\alpha + \beta - 1) \),4,移項分解再抽項,2022_q1.jpg,移項分解再抽項,0.029149435,2082
\[ 1 - (4m -3n)^2 = \],\( (6 + 3m + 4n)(6 - 3m + 4n) \),\( (6 + 3m + 4n)(6 - 3m - 4n) \),\( (6 + 3m - 4n)(6 - 3m + 4n) \),\( (6 + 3m - 4n)(6 - 3m - 4n) \),2,a-b^2,2025_q2.jpg,a-b^2,0.029624618,1695
\[ (3a + 3b)(2a -2b) + 2a(9a + 9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.030888503,421
\[ 3 x^{2} -  x y -  2 y^{2} -  x + y \],\( (x + y)(2x + y - 4) \),\( (x + y)(2x - y + 4) \),\( (x - y)(2x + y - 4) \),\( (x - y)(2x - y + 4) \),1,因式分解再抽項,2023_q4.jpg,因式分解再抽項,0.031041307,1936
\[ (2a -3b)(4a -3b) -a(6a -9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.031454661,1191
\[ \alpha^2 -5\alpha -\beta^2 + 5\beta = \],\( (\alpha + \beta)(\alpha - \beta + 1) \),\( (\alpha + \beta)(\alpha - \beta - 1) \),\( (\alpha - \beta)(\alpha + \beta + 1) \),\( (\alpha - \beta)(\alpha + \beta - 1) \),4,移項分解再抽項,2022_q1.jpg,移項分解再抽項,0.031515622,2161
\[ (3a -2b)(2a -4b) + a(9a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.031522517,958
\[ (2a + 2b)(3a + 2b) -a(6a + 6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.031719301,345
\[ (3a -2b)(3a + 5b) -2a(6a -4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.031869771,292
\[ (2a + 2b)(3a + 2b) + a(4a + 4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.032153093,180
\[ (2a -2b)(2a -4b) -2a(6a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.032412899,1091
\[ (3a + 2b)(4a + 3b) -2a(9a + 6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.03376369,935
\[ 1 - (3m -3n)^2 = \],\( (6 + 3m + 4n)(6 - 3m + 4n) \),\( (6 + 3m + 4n)(6 - 3m - 4n) \),\( (6 + 3m - 4n)(6 - 3m + 4n) \),\( (6 + 3m - 4n)(6 - 3m - 4n) \),2,a-b^2,2025_q2.jpg,a-b^2,0.034065675,1562
\[ (2a + 3b)(3a + 4b) + a(6a + 9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.034554519,917
\[ (3a + 2b)(2a + 4b) -2a(6a + 4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.034572523,271
\[ (3a + 2b)(4a + 3b) -2a(6a + 4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.034633582,573
\[ (2a -3b)(2a + 2b) -a(6a -9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.035048132,890
\[ (3a -2b)(4a + 5b) -a(9a -6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.03560242,907
\[ (3a + 2b)(2a -2b) -a(9a + 6b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.035732693,252
\[ (3a -3b)(4a -2b) + a(9a -9b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.03618533,1252
\[ 3 x^{2} -  x y -  2 y^{2} + 4 x -  4 y \],\( (x + y)(2x + y - 4) \),\( (x + y)(2x - y + 4) \),\( (x - y)(2x + y - 4) \),\( (x - y)(2x - y + 4) \),1,因式分解再抽項,2023_q4.jpg,因式分解再抽項,0.036401915,2024
\[ 4\alpha^2 -2\alpha -4\beta^2 + 4\beta = \],\( (\alpha + \beta)(\alpha - \beta + 1) \),\( (\alpha + \beta)(\alpha - \beta - 1) \),\( (\alpha - \beta)(\alpha + \beta + 1) \),\( (\alpha - \beta)(\alpha + \beta - 1) \),4,移項分解再抽項,2022_q1.jpg,移項分解再抽項,0.036535211,2190
\[ (2a + 2b)(3a + 5b) -2a(4a + 4b) = \],\( (3a + 2b)(2a - 5b) \),\( (3a + 2b)(6a - 5b) \),\( (3a - 2b)(2a + 5b) \),\( (3a - 2b)(6a + 5b) \),1,抽項再分解,2020_q4.jpg,抽項再分解,0.036849934,1357
\[ 2 x^{2} + x y -  y^{2} + 2 x + 2 y \],\( (x + y)(2x + y - 4) \),\( (x + y)(2x - y + 4) \),\( (x - y)(2x + y - 4) \),\( (x - y)(2x - y + 4) \),1,因式分解再抽項,2023_q4.jpg,因式分解再抽項,0.037079586,1897
